sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr,nic
2.2,12,2748.1,,379.2,,SRI ADHIKARI BROTHERS TELEVISION NETWORK LTD.,1.5,,199.2,233845,20160331,152.3,0.5,2.4,2.2,,1077.8,1.6,2127.7,,11.5,93290.0
0.1,12,194.0,0.2,49.8,,SPHERE GLOBAL SERVICES LTD.,0.3,,,49194,20160331,0.7,0.2,23.7,,,106.3,,192.4,,,93290.0
110.6,12,5191.8,5.7,729.0,,WONDERLA HOLIDAYS LTD.,,16.2,0.3,337792,20160331,265.0,42.6,598.2,174.7,,2061.2,2.5,6397.8,,3.0,93290.0
215.3,12,13671.25,100.0,1773.3,,NARAYANA HRUDAYALAYA LTD.,16.8,13.5,,346089,20160331,288.2,55.4,567.8,86.1,,14636.4,21.5,14024.4,,0.0,86100.0
167.6,12,5247.4,,1422.6,,DR. LAL PATHLABS LTD.,25.4,,6.3,331940,20160331,400.6,11.9,1257.5,123.5,,7654.0,44.8,5954.8,,2.2,86100.0
1248.7,12,67392.15,2564.8,6262.5,,APOLLO HOSPITALS ENTERPRISE LTD.,,211.7,,18102,20160331,7214.3,961.9,3339.5,2230.4,,55883.2,37.0,76584.4,,54.4,86100.0
0.3,12,7231.9,-0.2,555.9,,I C R A LTD.,-16.1,0.1,,96443,20160331,-6.1,-1.8,614.7,,,1942.9,,7602.3,,4.5,70200.0
726.5,12,24558.4,,-1018.1,,DISH T V INDIA LTD.,-10.1,,35.8,2717,20160331,-41638.1,6.3,4199.2,-41644.3,,22275.5,1.9,17538.9,,8.1,70200.0
1.5,12,8108.7,5.6,1080.1,,CARE RATINGS LTD.,8.2,3.7,,52181,20160331,24.7,7.7,1176.9,,,2648.5,0.5,8682.6,,-1.0,70200.0
753.3,12,417643.0,3.2,-74552.2,,BAJAJ FINANCE LTD.,235.7,,,28897,20160331,789.7,220.2,12785.2,,,,131.3,494739.4,,54.1,64920.0
0.4,12,2937.5,20.8,649.2,,P T L ENTERPRISES LTD.,-0.2,,0.1,180915,20160331,12.2,-7.0,242.4,,,460.7,,8685.8,,-0.8,64920.0
0.5,12,884.15,,80.3,,ARMAN FINANCIAL SERVICES LTD.,0.1,,,19915,20160331,1.9,1.4,24.9,,,,,847.9,,,64920.0
54.8,12,268764.3,1.9,-8324.3,,CHOLAMANDALAM INVESTMENT & FINANCE CO. LTD.,,,5.0,47318,20160331,544.4,3.0,5684.5,153.6,,3.0,31.6,290824.4,,-0.9,64920.0
,12,179394.1,,13314.4,,SUNDARAM FINANCE LTD.,,,3.4,240037,20160331,-168.2,8.6,4772.8,-4.8,,75.7,64.0,183653.3,,-273.3,64920.0
1.8,12,1874.75,5.5,-43.9,,VIKAS ECOTECH LTD.,0.3,,,266490,20160331,97.2,-0.3,255.3,75.8,,3245.3,,2276.9,,-1.6,64920.0
0.1,12,602.75,0.1,23.2,,L G B FORGE LTD.,,,21.4,376597,20160331,-3.3,-0.2,-23.4,-2.4,1.6,984.3,,559.6,,,64910.0
,12,59262.25,,-15748.4,,BHARAT FINANCIAL INCLUSION LTD.,99.4,,0.8,384105,20160331,129.6,13.9,3029.8,,,,16.6,71537.1,,-0.3,64910.0
4342.1,12,161612.1,707.9,36568.1,,BAJAJ AUTO LTD.,149.7,61.9,19.8,374518,20160331,3339.8,132.5,39296.7,911.5,2823.4,239033.1,,166186.5,,43.5,64910.0
1.8,12,10899.3,-3.7,2858.1,,MOTILAL OSWAL FINANCIAL SERVICES LTD.,0.1,,,374273,20160331,-3.2,0.1,467.5,0.0,,142.8,0.3,11071.6,,,64910.0
2.2,12,26580.1,40.0,-3247.5,,SATIN CREDITCARE NETWORK LTD.,,,0.1,213862,20160331,108.5,25.7,579.4,14.6,,,23.5,33052.5,,4.7,64910.0
