sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr,nic
1.0,12,5088.4,,530.0,,I C R A LTD.,3.4,1.4,,96443,20140331,28.8,10.5,587.3,,,1629.2,0.6,6101.7,,1.1,70200.0
5.6,12,7634.25,11.9,1087.0,,CARE RATINGS LTD.,10.6,0.0,,52181,20140331,30.7,2.0,1286.7,,,2294.6,6.9,8263.9,,-0.7,70200.0
,12,9818.2,0.0,2600.3,,CRISIL LTD.,34.2,,2.2,52194,20141231,-32.5,-63.5,2155.1,,,9033.7,0.0,10472.3,,-5.4,70200.0
2.2,12,1123.05,8.6,28.7,,VIKAS ECOTECH LTD.,0.5,,,266490,20140331,52.0,1.5,33.2,29.3,,1775.7,,1226.8,,6.6,64920.0
,12,156749.2,0.2,10327.9,,SUNDARAM FINANCE LTD.,,,82.4,240037,20140331,1046.5,17.8,4425.1,-26.6,,80.9,57.5,161168.7,,995.8,64920.0
1.2,12,16738.8,365.3,162.7,,V A TECH WABAG LTD.,14.1,36.5,0.2,259546,20140331,665.1,209.2,885.8,1.6,20.5,11522.4,19.7,18311.0,,18.7,64920.0
2623.3,12,137661.2,114.6,34207.1,,BAJAJ AUTO LTD.,,-24.6,822.5,374518,20140331,950.9,36.6,32479.2,760.6,1896.8,211777.0,,148953.7,,70.8,64910.0
,12,25104.8,7.0,747.6,,BAJAJ FINSERV LTD.,0.2,,0.0,374519,20140331,18.3,0.1,833.9,,,714.9,,25380.0,,11.0,64910.0
0.1,12,718.1,-74.7,175.6,,L G B FORGE LTD.,-0.1,-8.7,88.9,376597,20140331,-95.9,0.9,30.7,-11.6,0.9,963.7,0.0,638.9,,0.0,64910.0
3.8,12,7900.05,168.4,629.2,,MOTILAL OSWAL FINANCIAL SERVICES LTD.,0.0,,,374273,20140331,169.3,0.7,440.6,0.2,,,,7664.8,,,64910.0
0.0,12,511.8,,11.9,0.0,VISAGAR POLYTEX LTD.,0.0,,,30575,20140630,2.0,,10.1,0.0,,706.1,,558.6,,2.0,64910.0
,12,24908.5,,-1324.5,,BHARAT FINANCIAL INCLUSION LTD.,2.0,,0.3,384105,20140331,17.2,-4.9,698.5,,,,20.1,24972.2,,0.0,64910.0
,12,504737.65,5150.1,129419.3,,TATA CONSULTANCY SERVICES LTD.,6452.8,1833.9,20.1,164646,20140331,21316.9,5009.2,184749.2,-3.8,1751.4,646807.8,,578864.4,,28.9,64300.0
86.0,12,295501.3,20.3,136202.5,-1.7,COAL INDIA LTD.,,,0.4,48799,20140331,41.4,1.7,150085.4,18.3,0.0,6081.9,,250523.7,,2.8,64300.0
,12,11972.6,0.2,882.4,,RESPONSIVE INDUSTRIES LTD.,3.1,0.0,,228300,20140331,1920.2,0.5,507.9,1903.3,,18716.7,0.7,12970.4,,12.4,64300.0
9.6,12,1199.05,40.2,199.9,,BYKE HOSPITALITY LTD.,2.4,,,122625,20140331,111.4,2.5,158.9,55.0,,1557.1,,1259.1,,0.0,64300.0
20.1,12,66828.25,-2.2,-14354.7,,GRUH FINANCE LTD.,1.9,1.0,4.6,86417,20140331,17.3,16.6,1769.6,,,,0.0,75384.4,,,64192.0
32.9,12,42659.75,13.8,-10113.6,,REPCO HOME FINANCE LTD.,4.9,1.5,0.1,197110,20140331,27.9,4.2,1101.0,,,,1.2,47393.0,,2.3,64192.0
350.7,12,2104865.5,-53.0,-295619.1,,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,56.8,,,95632,20140331,615.2,192.4,54537.6,,,91.9,22.5,2255106.1,,6.1,64192.0
,12,1256.85,0.1,198.1,,S Q S INDIA B F S I LTD.,7.3,,0.4,250468,20140331,15.3,-0.1,254.4,0.6,,1944.4,8.3,1312.6,,-0.9,62013.0
,12,19044.5,362.0,3225.0,,MINDTREE LTD.,274.0,113.0,,146460,20140331,1439.0,158.0,4512.0,-1.0,,30316.0,194.0,21133.0,,0.0,62013.0
26.9,12,15439.0,1.8,2330.0,,VAKRANGEE LTD.,1967.4,,0.0,261710,20140331,1966.7,1.1,1990.0,0.0,,19654.2,,17285.7,,-3.6,62013.0
44.1,12,4364.35,0.0,1261.6,,TATA ELXSI LTD.,-331.5,0.7,,248092,20140331,-368.7,2.7,751.1,0.0,124.6,7721.0,-97.3,4826.4,,-2.4,62013.0
1407.0,12,437172.5,1048.0,65886.0,,WIPRO LTD.,,,,272724,20140331,7246.0,744.0,73874.0,6044.0,,387651.0,,462803.0,,-472.0,62013.0
19.9,12,12838.85,74.0,2433.6,,PERSISTENT SYSTEMS LTD.,101.1,,0.0,174488,20140331,378.9,11.0,2485.7,63.1,37.2,11841.2,131.2,13936.9,,0.0,62013.0
27.3,12,14648.0,384.3,3231.9,,HEXAWARE TECHNOLOGIES LTD.,,,,18395,20141231,755.9,127.4,3184.0,285.2,,11545.6,119.6,14546.2,,3.8,62013.0
0.0,12,219453.75,5198.8,59666.9,,H C L TECHNOLOGIES LTD.,292.3,,483.6,88258,20140630,8151.5,258.1,59844.2,2081.9,1527.3,164973.7,367.1,255894.2,,-0.4,62013.0
0.0,12,482930.0,8250.0,91480.0,,INFOSYS LTD.,6530.0,,0.0,100632,20140331,23600.0,2780.0,101940.0,3110.0,8730.0,443410.0,,532110.0,,30.0,62013.0
933.0,12,114915.0,8149.0,12942.0,,TECH MAHINDRA LTD.,5103.0,,104.0,136494,20140331,26664.0,3020.0,26950.0,7281.0,,162951.0,1425.0,155773.0,,323.0,62013.0
22.2,12,2453.3,,927.2,,ACCELYA KALE SOLUTIONS LTD.,,,0.5,114412,20140630,97.5,1.6,896.0,44.2,,2829.7,51.7,2750.2,,,62013.0
101.8,12,34269.7,2.4,11584.9,,SUN T V NETWORK LTD.,,,1.3,239792,20140331,4517.5,26.8,7169.6,281.0,,20991.4,9.6,35815.6,,3.4,59122.0
3.2,12,1569.65,19.7,-77.7,,RAJ TELEVISION NETWORK LTD.,15.6,,,190071,20140331,95.4,2.9,129.1,54.1,,870.6,,2185.5,,3.1,59122.0
1918.0,12,44141.0,0.0,4430.0,,ZEE ENTERTAINMENT ENTERPRISES LTD.,36.0,,,275062,20140331,494.0,27.0,7723.0,391.0,,30757.0,30.0,47700.0,,7.0,59122.0
472.7,12,6312.15,122.6,1248.8,,RELAXO FOOTWEARS LTD.,12.8,20.5,,196452,20140331,676.2,40.2,656.4,359.7,8.6,12253.9,17.9,6666.9,,22.4,46909.0
,12,14016.05,533.9,1204.0,,3M INDIA LTD.,-55.7,,,36277,20140331,1490.6,34.1,429.9,907.5,400.9,18180.9,7.9,14367.6,,30.8,46909.0
16.5,12,64155.95,-0.1,566.6,,M M T C LTD.,3.7,0.0,0.7,132144,20140331,2.7,-0.2,186.4,0.1,,250798.4,0.3,56816.7,,-1.1,46909.0
0.1,12,17784.95,-31.9,-7625.9,,SURANA CORPORATION LTD.,0.2,,2.9,242416,20140331,-32.5,0.1,-3603.3,0.9,,41262.6,,15528.5,,0.3,46909.0
1.4,12,1334.25,25.8,287.7,,CIMMCO LTD.,,,,47769,20140331,31.6,,-123.9,5.8,,1338.7,,2604.6,,,46909.0
,12,4922.7,1.7,428.7,,SIGNET INDUSTRIES LTD.,,,,227036,20140331,102.6,2.3,156.5,92.9,,6255.3,0.0,5185.9,,5.7,46909.0
,12,4997.75,7.6,290.5,,TRIVENI TURBINE LTD.,2.5,,,254594,20140331,46.4,1.0,684.5,-12.2,50.7,5261.7,12.6,5479.8,,6.6,46909.0
1.9,12,5999.95,,2680.9,,SUNTECK REALTY LTD.,-3.0,,,101293,20140331,-1.2,0.7,1375.3,,,348.3,1.1,6256.0,,,46102.0
,12,35063.05,62.3,3740.4,,G E POWER INDIA LTD.,,,1169.0,12011,20140331,464.8,5.8,2306.5,408.7,,26408.4,10.0,37650.0,,0.2,46102.0
,12,215206.45,10.4,3870.3,,ADANI ENTERPRISES LTD.,15.3,-5.3,78.2,5747,20140331,103.0,7.8,-1525.3,-6.7,,117864.4,29.7,226898.1,,20.1,46102.0
,12,54563.95,163.9,7652.7,,BHARAT FORGE LTD.,,-0.9,501.6,33750,20140331,2542.5,4.0,3999.3,2341.0,229.4,35702.4,46.9,57329.7,,-11.0,30913.0
6.8,12,3712.65,154.1,380.2,,SUPRAJIT ENGINEERING LTD.,5.3,15.5,0.7,241914,20140331,309.4,7.6,476.6,76.6,18.2,5332.3,,4121.7,,2.8,30913.0
8.1,12,4308.7,43.5,766.2,,FIEM INDUSTRIES LTD.,3.3,10.0,4.9,72979,20140331,365.3,13.2,374.0,269.1,46.4,7921.4,0.7,4558.6,,8.8,30913.0
