sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr,nic
1.0,12,6481.6,,578.2,,I C R A LTD.,3.7,6.7,,96443,20150331,27.3,14.7,504.2,,,1802.3,2.7,6861.5,,-0.5,70200.0
1.4,12,7899.35,97.3,1068.2,,CARE RATINGS LTD.,4.4,0.2,,52181,20150331,105.7,2.5,1403.3,,,2572.1,2.3,7534.8,,-1.0,70200.0
,12,10272.45,-129.5,2078.9,,CRISIL LTD.,59.2,,,52194,20151231,-83.6,-16.2,2220.1,,,9561.0,1.5,10072.6,,-0.1,70200.0
2.4,12,1349.7,11.9,-114.8,,VIKAS ECOTECH LTD.,0.4,,,266490,20150331,40.0,3.3,37.9,18.7,,2214.3,,1472.6,,3.5,64920.0
352.1,12,293423.65,4.6,-51326.2,,BAJAJ FINANCE LTD.,94.9,,,28897,20150331,358.0,213.0,8978.7,-176.4,,,78.9,340546.6,,18.5,64920.0
,12,168151.8,,3003.9,,SUNDARAM FINANCE LTD.,,,12.9,240037,20150331,-635.2,11.0,4541.4,-607.1,,81.6,81.4,175134.9,,-76.2,64920.0
4.7,12,19145.85,,308.4,,V A TECH WABAG LTD.,7.4,-0.6,0.0,259546,20150331,29.2,-7.6,904.1,-2.7,14.1,12333.6,21.8,19980.7,,10.9,64920.0
,12,35979.8,,-11463.6,,BHARAT FINANCIAL INCLUSION LTD.,12.5,,0.5,384105,20150331,41.9,5.5,1876.6,,,,22.4,46987.4,,1.5,64910.0
3215.1,12,152995.7,654.2,22593.5,,BAJAJ AUTO LTD.,86.9,29.1,40.0,374518,20150331,238.7,54.7,28137.4,-644.7,2216.8,225421.9,,157037.7,,65.5,64910.0
0.2,12,642.4,,55.2,,L G B FORGE LTD.,0.4,0.8,30.9,376597,20150331,-67.6,0.4,-1.4,-70.0,1.5,898.6,0.5,645.9,,1.3,64910.0
2.4,12,9195.9,-0.2,-197.7,,MOTILAL OSWAL FINANCIAL SERVICES LTD.,0.2,,,374273,20150331,4.4,0.9,675.5,3.5,,,,10727.0,,,64910.0
,12,25896.15,,280.0,,BAJAJ FINSERV LTD.,0.9,,50.0,374519,20150331,89.4,1.8,1259.3,,,609.0,,26412.3,,4.8,64910.0
0.1,9,585.55,,-5.1,0.1,VISAGAR POLYTEX LTD.,0.1,,,30575,20150331,3.6,0.4,17.1,0.1,,609.3,,612.5,,2.9,64910.0
,12,607217.1,12419.8,163198.9,,TATA CONSULTANCY SERVICES LTD.,6697.5,2402.4,29.4,164646,20150331,28895.2,4071.0,187495.5,1163.9,1915.6,735850.0,,635569.8,,14.7,64300.0
,12,12323.2,0.6,1717.9,,RESPONSIVE INDUSTRIES LTD.,0.3,,,228300,20150331,289.3,1.3,331.9,275.5,,15455.8,,11676.0,,11.6,64300.0
10.7,12,1313.85,20.6,164.4,,BYKE HOSPITALITY LTD.,5.6,,,122625,20150331,108.2,13.5,200.3,67.7,,1814.2,,1368.6,,0.8,64300.0
78.9,12,242823.0,11.9,126049.6,2.0,COAL INDIA LTD.,,,0.5,48799,20150331,18.4,-32.8,133833.9,41.2,1.4,7192.2,,235122.3,,-3.9,64300.0
31.2,12,85576.35,,-16549.6,,GRUH FINANCE LTD.,6.5,2.0,0.0,86417,20150331,25.4,16.9,2018.7,,,,,95768.3,,,64192.0
38.1,12,54206.8,15.0,-11929.7,,REPCO HOME FINANCE LTD.,14.9,1.6,0.3,197110,20150331,63.1,6.4,1230.8,,,,19.8,61020.6,,-0.4,64192.0
274.2,12,2401239.15,223.8,-338701.5,,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,109.8,,,95632,20150331,4005.5,-37.7,60072.0,,,125.6,18.2,2547372.2,,14.5,64192.0
,12,1009.15,,-210.9,,INTRASOFT TECHNOLOGIES LTD.,-12.6,,,305060,20150331,-11.7,-4.2,50.1,,,310.5,2.0,881.4,,,63999.0
1.2,12,7997.45,,1991.3,,ECLERX SERVICES LTD.,116.0,,,65745,20150331,498.8,132.2,2157.0,,,8183.4,115.3,8720.9,,,63999.0
,12,1488.2,,177.1,,AXISCADES ENGINEERING TECHNOLOGIES LTD.,10.3,,,97042,20150331,182.1,2.2,113.2,,,1884.5,23.5,1425.8,,3.1,63999.0
38.9,12,14862.65,2.8,2876.1,,HEXAWARE TECHNOLOGIES LTD.,,,1.4,18395,20151231,260.3,35.6,3329.7,159.3,,12936.0,61.6,15179.1,,1.0,62013.0
,12,1375.9,,277.6,,S Q S INDIA B F S I LTD.,7.4,,1.2,250468,20150331,10.2,1.6,184.8,0.2,,2141.6,2.4,1439.2,,-1.4,62013.0
,12,578310.0,8550.0,79550.0,,INFOSYS LTD.,6340.0,,4120.0,100632,20150331,24490.0,2850.0,121640.0,2710.0,5900.0,473000.0,,624510.0,,10.0,62013.0
,12,99508.75,98.0,9748.9,,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,-14.4,-41.6,0.0,97191,20150331,61.2,29.8,10580.2,,2621.6,33411.0,,82265.8,,-14.4,62013.0
0.0,12,279632.35,3382.4,50662.0,,H C L TECHNOLOGIES LTD.,1687.3,,974.6,88258,20150630,7711.4,410.7,63459.5,1747.4,1817.7,171534.4,-750.5,303370.5,,102.9,62013.0
19.1,12,18833.1,4.5,-71.7,,VAKRANGEE LTD.,378.1,,1.8,261710,20150331,406.8,0.7,3201.9,24.3,,27753.9,,20380.5,,-0.8,62013.0
,12,23837.5,927.0,5977.0,,MINDTREE LTD.,467.0,161.0,,146460,20150331,2003.0,197.0,5343.0,-1.0,,35474.0,29.0,26542.0,,26.0,62013.0
20.5,12,2885.6,,628.5,,ACCELYA KALE SOLUTIONS LTD.,,,92.5,114412,20150630,90.5,-7.8,772.9,55.2,,2720.5,43.1,3021.0,,,62013.0
71.3,12,10485.0,2.0,1317.4,,ZENSAR TECHNOLOGIES LTD.,84.0,,,275305,20150331,427.1,67.8,1831.1,27.0,0.0,10643.0,81.2,11442.2,,3.8,62013.0
46.4,12,5393.6,220.1,1433.8,,TATA ELXSI LTD.,62.6,27.8,,248092,20150331,404.8,76.9,1029.0,4.8,177.3,8494.0,-22.1,5960.8,,2.6,62013.0
,12,5273.65,,834.1,,SONATA SOFTWARE LTD.,,,,231086,20150331,5.4,0.6,1183.6,4.0,,4668.8,,5764.4,,0.8,62013.0
,12,3282.95,,-25.5,,TAKE SOLUTIONS LTD.,0.1,,,324131,20150331,0.1,0.0,113.2,,,258.9,,3250.5,,,62013.0
1.2,12,1537.4,12.0,-266.7,,ZEN TECHNOLOGIES LTD.,1.6,,,275155,20150331,27.4,6.7,157.4,0.7,129.2,789.4,,1781.7,,6.4,62013.0
,12,283.7,,98.4,,ARROW GREENTECH LTD.,0.3,,,20327,20150331,33.1,1.3,65.5,27.0,,202.5,,310.3,,4.3,46909.0
,12,5097.9,1.3,646.2,,SIGNET INDUSTRIES LTD.,,,,227036,20150331,52.3,2.1,117.0,48.7,,6709.9,0.2,5009.9,,,46909.0
,12,14851.85,-0.1,1773.6,,3M INDIA LTD.,22.7,,,36277,20150331,-8.4,4.4,1083.4,-10.2,410.5,19278.9,1.1,15336.1,,-25.6,46909.0
533.7,12,7605.1,245.2,1074.8,,RELAXO FOOTWEARS LTD.,10.7,21.5,,196452,20150331,1421.9,26.3,1030.5,591.8,14.3,14994.4,8.8,8543.3,,8.6,46909.0
,12,5557.45,0.4,594.5,,TRIVENI TURBINE LTD.,6.9,,,254594,20150331,411.5,-2.5,888.4,5.8,54.0,6452.3,6.6,5635.1,,5.1,46909.0
29.2,12,5619.9,26.9,502.0,,MINDA CORPORATION LTD.,-6.2,,,146438,20150331,-187.7,3.0,348.8,-173.4,48.2,6955.8,-2.0,5474.4,,-0.5,30913.0
,12,4786.5,2.8,138.0,,J M T AUTO LTD.,0.7,,1.0,104238,20150331,105.5,1.7,114.6,99.6,,4736.5,,4134.8,,0.7,30913.0
1317.0,15,115869.5,1227.0,13963.0,,BOSCH LTD.,,,12.0,149711,20150331,4822.0,31.0,13377.0,3377.0,2152.0,128799.0,,123785.0,,82.0,30913.0
,12,7907.65,104.4,1294.6,,SONA KOYO STEERING SYSTEMS LTD.,,12.9,0.1,230893,20150331,705.4,13.3,177.5,454.3,22.0,12288.2,20.1,7755.4,,11.8,30913.0
,12,10456.2,27.4,1240.9,,WABCO INDIA LTD.,,,0.8,374456,20150331,650.1,43.5,1206.6,535.9,76.0,14626.4,35.2,11238.7,,8.1,30913.0
,12,60726.7,234.2,9027.1,,BHARAT FORGE LTD.,,2.3,,33750,20150331,2251.7,34.1,7189.8,1884.2,284.1,47355.6,33.3,64123.7,,6.1,30913.0
3.7,12,4456.25,16.5,605.8,,SUPRAJIT ENGINEERING LTD.,3.6,16.0,,241914,20150331,216.7,13.0,446.1,53.5,17.0,5771.0,,4790.8,,3.0,30913.0
,12,6986.2,-308.0,369.6,,DYNAMATIC TECHNOLOGIES LTD.,4.4,-33.1,416.4,64150,20150331,-112.5,29.1,210.5,178.7,44.8,4876.2,11.9,7645.0,,-16.5,30913.0
,12,10007.4,57.2,871.6,,SUNDARAM-CLAYTON LTD.,,,34.4,240069,20150331,688.1,13.3,711.6,586.7,49.2,14159.8,11.0,10135.2,,22.5,30913.0
,12,45763.5,546.0,8208.0,,MOTHERSON SUMI SYSTEMS LTD.,23.0,,55.0,149616,20150331,2154.0,29.0,5149.0,1451.0,173.0,54878.0,,47365.0,,-80.0,30913.0
6689.5,12,103258.05,4374.6,22500.0,,HERO MOTOCORP LTD.,252.4,,6.8,92590,20150331,12050.9,171.6,23856.4,7123.2,1250.6,293332.5,139.7,105391.1,,-43.4,30911.0
2565.5,12,41296.4,554.1,848.4,,T V S MOTOR CO. LTD.,,,131.3,246615,20150331,3279.2,209.2,3478.3,2123.1,1433.6,107450.2,,46446.0,,14.4,30911.0
,12,3093.15,,-101.1,,MAHARASHTRA SCOOTERS LTD.,,,0.6,135715,20150331,-1.8,-0.5,547.6,-1.3,,78.1,,3183.3,,,30911.0
,12,543999.4,1049.8,-22143.0,,TATA MOTORS LTD.,462.9,,366.0,248093,20150331,30227.6,149.2,-46455.5,12594.6,4561.0,394418.3,341.1,546764.3,52.1,-35.5,29102.0
,12,7114.7,65.2,687.6,,S M L ISUZU LTD.,2.5,,0.5,244495,20150331,83.0,16.2,369.4,-23.0,132.7,11998.9,,7504.7,,22.1,29102.0
,12,121266.65,372.8,17744.9,,ASHOK LEYLAND LTD.,,,3707.4,22104,20150331,55.6,70.4,3348.1,-386.9,2392.8,148401.9,,134180.3,,-10.5,29102.0
