sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr,nic
782.3,12,27825.7,,4004.4,,DISH T V INDIA LTD.,15.4,,,2717,20110331,6543.5,15.3,-1896.9,6514.5,,12380.2,-1.7,26878.1,,3.2,70200.0
,12,5814.2,0.0,2385.1,,CRISIL LTD.,42.5,,64.2,52194,20111231,157.7,33.6,1865.1,,,6404.8,,6178.9,,12.2,70200.0
3.9,12,3082.0,,425.4,,I C R A LTD.,2.5,,,96443,20110331,11.6,2.6,449.1,,,1293.5,2.0,3117.5,,2.0,70200.0
132.9,12,310948.15,1.8,-3739.1,,SHRIRAM TRANSPORT FINANCE CO. LTD.,,,,225455,20110331,8.2,10.1,12298.8,-5.1,,,1.1,337928.9,,0.3,64920.0
646.7,12,102065.05,71.9,-49182.0,,MUTHOOT FINANCE LTD.,118.4,,0.0,288148,20110331,772.4,221.8,4941.8,314.1,,22.2,0.0,139687.8,,9.3,64920.0
1.3,12,1928.45,-1.1,249.6,,P T L ENTERPRISES LTD.,,0.1,5.6,180915,20110331,0.3,0.2,198.4,,,,,2222.7,,1.7,64920.0
,12,115992.8,,-40837.6,,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,66.3,,1.1,136443,20110331,436.8,260.6,4631.1,,,,17.7,136831.3,,92.2,64920.0
1.9,12,8262.1,,152.6,,V A TECH WABAG LTD.,9.9,0.3,,259546,20110331,136.9,4.3,552.6,,,7334.6,112.1,9820.3,,10.3,64920.0
,12,939.4,,-69.5,,T C I FINANCE LTD.,,,0.3,248411,20110331,-4.7,,3.4,,,14.5,,996.1,,-4.7,64920.0
0.1,12,1069.55,-38.4,82.9,,L G B FORGE LTD.,,,53.1,376597,20110331,-35.5,,-86.2,5.4,1.3,1392.1,,987.4,,-0.1,64910.0
816.9,12,90791.9,,15819.0,,BAJAJ AUTO LTD.,,,8388.1,374518,20110331,,,33397.3,,1129.5,173322.2,,94194.8,,,64910.0
,12,15500.8,,773.2,,BAJAJ FINSERV LTD.,,,1398.5,374519,20110331,,,1901.8,,,434.7,,14533.9,,,64910.0
8.4,12,5909.85,,784.9,,MOTILAL OSWAL FINANCIAL SERVICES LTD.,0.2,,,374273,20110331,9.8,,426.6,,,,,5904.6,,9.6,64910.0
,12,5119.05,0.0,1278.6,,RESPONSIVE INDUSTRIES LTD.,0.6,2.0,,228300,20110331,44.3,0.9,548.5,20.6,,7628.3,,5267.0,,20.2,64300.0
119.2,12,18685.8,,-5472.8,,GODREJ PROPERTIES LTD.,7.8,,,83025,20110331,50.2,17.9,1061.5,-2.1,,2896.1,0.5,21680.7,,14.9,64300.0
,12,244934.5,2526.5,57198.8,,TATA CONSULTANCY SERVICES LTD.,4583.5,852.1,,164646,20110331,11589.5,1818.0,75699.9,0.2,972.0,292770.2,,262262.2,,0.6,64300.0
309.6,12,259275.55,48.8,1209.3,17.2,COAL INDIA LTD.,,,,48799,20110331,104.5,4.1,46961.0,34.6,,6497.2,,276867.5,,-3.4,64300.0
0.1,12,130.8,,-3.6,,BLUE CHIP INDIA LTD.,,,,36895,20110331,,,-19.5,,,,,110.0,,,64300.0
790.1,12,2117132.8,8226.0,149622.5,,AXIS BANK LTD.,,,,256066,20110331,13185.2,4323.7,33884.9,,,,635.5,2427460.3,,,64191.0
206.4,12,476947.45,,75274.0,,YES BANK LTD.,,,,354608,20110331,489.0,489.0,7271.4,,,,,590069.8,,,64191.0
1589.5,12,2499928.25,475.9,111132.9,,H D F C BANK LTD.,,,,88297,20110331,5362.3,3928.8,39264.0,,,,,2774287.7,,,64191.0
440.0,12,441434.9,,-17791.0,,KOTAK MAHINDRA BANK LTD.,,,0.2,122573,20110331,864.6,740.1,8181.8,,,,124.5,508506.6,,,64191.0
164.8,12,403318.25,-67.1,37657.0,,INDUSIND BANK LTD.,,,,100224,20110331,-827.5,-760.4,5773.3,,,,,456905.9,,,64191.0
49.0,12,59688.0,163.0,4706.0,,TECH MAHINDRA LTD.,296.0,,11.0,136494,20110331,1357.0,199.0,6967.0,505.0,,49655.0,,60934.0,,5.0,62013.0
0.3,12,11697.3,428.8,1158.8,,HEXAWARE TECHNOLOGIES LTD.,,,1.3,18395,20111231,769.1,49.3,2319.8,264.1,,6802.0,27.4,12403.5,,-0.5,62013.0
30.2,12,3166.95,3.4,717.3,,TATA ELXSI LTD.,89.0,0.2,,248092,20110331,175.0,8.1,317.3,,99.2,4110.2,78.3,3339.2,,,62013.0
2479.0,12,325012.0,3231.0,37112.0,,WIPRO LTD.,,,,272724,20110331,10284.0,866.0,48437.0,5649.0,,264012.0,,344350.0,,-411.0,62013.0
60.0,12,276395.0,,42700.0,,INFOSYS LTD.,,,,100632,20110331,,,64430.0,,5210.0,253850.0,,291130.0,,,62013.0
6.7,12,5651.6,11.2,-408.4,,VAKRANGEE LTD.,330.2,,0.1,261710,20110331,345.8,4.4,480.8,,,8523.9,,6629.2,,,62013.0
5.0,12,59949.9,,7166.3,,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,,,5.0,97191,20110331,,,9679.8,,,23605.1,,66362.6,,,62013.0
