sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr,nic
2.4,12,11880.25,,-93.6,,V A TECH WABAG LTD.,6.0,3.9,,259546,20120331,59.2,6.6,751.2,14.6,0.0,10034.7,19.3,13940.2,,8.8,64920.0
4.5,12,729.9,21.9,86.4,,VIKAS ECOTECH LTD.,0.8,,33.9,266490,20120331,74.2,1.5,87.2,36.4,,1141.0,,809.5,,0.2,64920.0
0.5,12,2325.45,56.2,663.0,,P T L ENTERPRISES LTD.,,,0.0,180915,20120331,59.3,-0.1,174.9,1.8,,,,2428.2,,2.0,64920.0
,12,161225.55,,-59272.5,,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,110.0,,3.0,136443,20120331,426.6,270.1,6205.2,,,,1.2,185619.8,,46.0,64920.0
67.5,12,11339.75,,1031.1,,S E INVESTMENTS LTD.,0.5,,,202308,20120331,-555.1,0.2,701.9,-555.3,,69.7,,11546.9,,-0.5,64920.0
,12,14795.95,2.4,695.0,,BAJAJ FINSERV LTD.,0.8,,,374519,20120331,10.7,0.7,765.7,,,860.8,,15058.0,,6.8,64910.0
2.5,12,6338.4,2247.9,256.9,,MOTILAL OSWAL FINANCIAL SERVICES LTD.,,,,374273,20120331,2303.2,13.0,583.9,42.3,,,,6772.2,,,64910.0
1603.1,12,103323.1,89.7,31931.7,,BAJAJ AUTO LTD.,,41.9,105.5,374518,20120331,9.0,-58.0,30040.5,-639.3,1137.0,204791.8,,112451.4,,602.6,64910.0
8.3,12,27527.2,,-2259.0,,L & T FINANCE HOLDINGS LTD.,0.0,,0.0,385630,20120331,5.5,,712.5,,,152.9,0.5,33664.7,,5.0,64910.0
0.2,12,941.2,3.2,119.8,,L G B FORGE LTD.,0.1,0.2,0.6,376597,20120331,2.7,0.5,-53.0,-1.4,1.3,1398.0,,895.0,,,64910.0
,12,7642.45,4.9,278.4,,RESPONSIVE INDUSTRIES LTD.,1.0,4.1,,228300,20120331,5896.1,1.4,489.5,5890.3,,11083.4,0.0,10017.9,,-5.6,64300.0
190.6,12,25930.85,,-4528.1,,GODREJ PROPERTIES LTD.,3.5,,,83025,20120331,18.7,6.1,813.6,0.2,,3362.0,0.9,30181.0,,3.0,64300.0
0.1,12,106.1,,0.9,,BLUE CHIP INDIA LTD.,,,,36895,20120331,,,7.7,,,,,102.2,,,64300.0
,12,303230.6,3258.7,31746.3,,TATA CONSULTANCY SERVICES LTD.,3323.3,1252.3,3.3,164646,20120331,12518.6,2655.7,109759.8,-2.5,1271.6,381061.1,,344199.0,,3.6,64300.0
,12,822.6,155.0,34.9,,BYKE HOSPITALITY LTD.,0.5,,,122625,20120331,346.3,22.7,24.0,108.5,,490.6,,939.6,,2.4,64300.0
61.4,12,292048.6,51.8,92883.5,-0.6,COAL INDIA LTD.,,,0.2,48799,20120331,88.6,3.9,80651.0,29.8,,6738.0,,307229.7,,3.7,64300.0
242.0,12,1534306.55,29.4,,,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,57.9,,,95632,20120331,144.0,47.5,41268.4,,,96.9,3.6,1675693.8,,5.6,64192.0
17.2,12,40177.05,0.0,-7834.0,,GRUH FINANCE LTD.,-23.3,1.0,0.0,86417,20120331,-9.1,12.3,1088.0,,,,0.9,45117.9,,0.0,64192.0
118.0,12,597011.45,319.0,-116081.0,,L I C HOUSING FINANCE LTD.,24.8,,,125401,20120331,353.5,4.8,9142.0,,,3.1,1.1,657696.0,,,64192.0
563.8,12,582587.25,0.0,-1059.6,,KOTAK MAHINDRA BANK LTD.,,,5.6,122573,20120331,1236.1,947.6,10850.5,,,,288.5,656667.9,,,64191.0
