sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,2266.1,15.4,117.9,,20 MICRONS LTD.,,,1.2,11,20120331,70.1,,107.8,28.1,3.9,2678.4,0.7,2548.0,,4.1
,12,1654.5,24.6,366.1,,A B C INDIA LTD.,,,26.2,289,20120331,308.5,1.8,49.8,20.8,,2582.1,0.6,1746.9,,231.8
1.4,12,5941.0,,837.4,,STARLOG ENTERPRISES LTD.,,,59.7,363,20120331,-67.8,1.4,110.8,-69.2,,1457.6,,5829.5,,
,12,82187.2,156.3,-4334.4,,A B G SHIPYARD LTD.,3.6,,13.5,365,20120331,1899.1,11.9,1802.9,1654.5,,23842.9,6.3,89208.7,,6.4
,12,413.8,,-1.2,,A B L BIOTECHNOLOGIES LTD.,0.0,,,400,20120331,0.1,0.1,-1.8,,,,,451.0,,0.0
,12,401.8,,48.1,,A B M INTERNATIONAL LTD.,,,,414,20120331,0.6,,3.2,,,1019.9,,489.9,,0.6
2.3,12,640.15,0.0,56.9,,A B M KNOWLEDGEWARE LTD.,0.4,,,415,20120331,1.8,0.1,152.0,,,1017.1,,691.7,,1.3
,12,126.9,,28.0,,A C E EDUTREND LTD.,33.6,,,612,20120331,46.8,8.2,12.3,5.0,,204.2,,144.3,,
0.0,12,276.25,,17.5,,A C E STONECRAFT LTD.,,,,641,20120331,,,1.1,,,,,253.5,,
0.2,12,215.95,,-8.9,,A C I INFOCOM LTD.,0.1,,,666,20120331,0.1,,8.6,,,217.7,,236.5,,
31.5,12,1644.7,2.2,79.1,,A D F FOODS LTD.,0.6,,4.1,783,20120331,21.3,-3.4,116.3,21.3,0.9,1130.2,,1705.5,,0.6
0.1,12,50.65,,-1.1,,A D S DIAGNOSTIC LTD.,0.0,,,830,20120331,0.7,0.1,0.1,0.6,,40.6,,51.3,,
0.1,12,0.25,,-0.1,,A F ENTERPRISES LTD.,,,,912,20120331,,,0.1,,,0.9,,0.4,,
0.8,12,10596.1,317.4,535.8,,A I A ENGINEERING LTD.,,,2.8,1120,20120331,976.9,55.9,1509.1,389.9,,13185.0,16.0,11426.0,,-9.5
5.5,12,1601.15,,152.9,,A INFRASTRUCTURE LTD.,0.1,,0.2,1144,20120331,33.5,0.1,15.1,25.8,,2303.0,,1660.6,,-1.1
