sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,3313.6,-4.6,184.1,,20 MICRONS LTD.,0.6,,8.3,11,20160331,57.7,0.5,93.4,59.3,,3495.1,,3337.4,,-2.3
,12,1027.0,-53.2,-4.2,,A B C INDIA LTD.,,,60.8,289,20160331,-97.7,3.9,-23.7,-6.1,,1334.2,,969.2,,-38.3
1.3,12,5059.7,,592.4,,STARLOG ENTERPRISES LTD.,,,12.9,363,20160331,-389.6,1.0,-7.4,-389.8,,786.3,,4929.6,,-0.8
,12,116930.5,1.2,-6808.3,,A B G SHIPYARD LTD.,0.1,,2.2,365,20160331,-32.4,,-37047.1,,,343.1,1.4,111067.5,,-35.1
,12,407.85,,,,A B L BIOTECHNOLOGIES LTD.,,,,400,20160331,,,-1.4,,,0.1,,443.5,,
,12,465.8,,-33.0,,A B M INTERNATIONAL LTD.,,,,414,20160331,,,7.7,,,1089.3,,444.2,,
1.2,12,1129.0,1.7,277.0,,A B M KNOWLEDGEWARE LTD.,0.4,,,415,20160331,6.6,0.3,175.7,,,870.6,,1129.0,,4.2
,12,164.85,,27.9,,A C E EDUTREND LTD.,9.1,,,612,20160331,28.5,8.6,-6.6,10.8,,152.7,,158.2,,
0.1,12,167.7,,-11.6,,A C I INFOCOM LTD.,,,,666,20160331,,,0.1,,,5.5,,168.7,,
8.0,12,1490.0,4.0,-283.2,,CEINSYS TECH LTD.,18.6,1.1,,771,20160331,37.6,11.4,74.2,0.3,,1251.4,,1776.0,,2.2
35.5,12,2343.1,,443.3,,A D F FOODS LTD.,0.0,-0.1,,783,20160331,10.1,-2.5,141.0,8.2,1.6,1609.6,0.2,2433.4,,4.3
