sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,2676.95,189.5,405.9,,20 MICRONS LTD.,0.2,,4.7,11,20130331,724.3,0.4,32.4,497.9,4.3,2855.8,0.7,2805.9,,2.9
,12,1634.45,1.3,185.3,,A B C INDIA LTD.,,,2.6,289,20130331,-12.2,11.9,63.7,1.5,,1800.5,1.0,1522.0,,-16.9
1.2,12,5734.7,,528.8,,STARLOG ENTERPRISES LTD.,,,39.9,363,20130331,-92.1,0.4,-62.8,-92.8,,967.3,,5639.9,,0.0
,12,97674.65,453.8,-733.6,,A B G SHIPYARD LTD.,-0.2,,109.1,365,20130331,1060.0,-5.5,1071.3,640.5,,20940.2,0.8,106997.9,,-2.1
,12,581.1,,92.9,,A B M INTERNATIONAL LTD.,,,,414,20130331,0.1,,7.5,,,1759.7,,672.3,,0.1
2.7,12,725.95,220.2,41.8,,A B M KNOWLEDGEWARE LTD.,0.1,,,415,20130331,221.4,0.1,125.6,,,744.2,,760.2,,1.0
0.1,12,151.55,,,,A C E EDUTREND LTD.,0.0,,,612,20130331,,,13.1,,,223.9,,158.8,,
0.1,12,263.4,,61.9,,A C E STONECRAFT LTD.,,,,641,20130331,,,0.7,,,,,273.3,,
0.1,12,200.75,,-2.4,,A C I INFOCOM LTD.,0.1,,,666,20130331,0.1,,3.3,,,,,165.0,,
8.0,12,,,-3.5,,CEINSYS TECH LTD.,5.2,,,771,20130331,33.0,14.7,52.6,3.0,,573.0,,758.0,,10.1
